CLB1 RESOURCE22619
CLB10 RESOURCE15255
CLB100 RESOURCE35465
CLB1000 RESOURCE21606
CLB10000 RESOURCE3183
CLB10001 RESOURCE5077
CLB10002 RESOURCE1697
CLB10003 RESOURCE6154
CLB10004 RESOURCE5682
CLB10005 RESOURCE19746
CLB10006 RESOURCE39414
CLB10007 RESOURCE22469
CLB10008 RESOURCE32987
CLB10009 RESOURCE18991
CLB1001 RESOURCE27381
CLB10010 RESOURCE19510
CLB10011 RESOURCE15063
CLB10012 RESOURCE12560
CLB10013 RESOURCE19537
CLB10014 RESOURCE7912
CLB10015 RESOURCE13036
CLB10016 RESOURCE14640
CLB10017 RESOURCE33158
CLB10018 RESOURCE21385
CLB10019 RESOURCE32473
CLB1002 RESOURCE39891
CLB10020 RESOURCE29588
CLB10021 RESOURCE19996
CLB10022 RESOURCE640
CLB10023 RESOURCE11885
CLB10024 RESOURCE13640
CLB10025 RESOURCE21459
CLB10026 RESOURCE20478
CLB10027 RESOURCE26322
CLB10028 RESOURCE19956
CLB10029 RESOURCE7947
CLB1003 RESOURCE34100
CLB10030 RESOURCE18454
CLB10031 RESOURCE4938
CLB10032 RESOURCE35406
CLB10033 RESOURCE16555
CLB10034 RESOURCE9977
CLB10035 RESOURCE11978
CLB10036 RESOURCE32482
CLB10037 RESOURCE17544
CLB10038 RESOURCE19999
CLB10039 RESOURCE15103
CLB1004 RESOURCE25442
CLB10040 RESOURCE32020
CLB10041 RESOURCE11502
CLB10042 RESOURCE25935
CLB10043 RESOURCE19516
CLB10044 RESOURCE19109
CLB10045 RESOURCE23520
CLB10046 RESOURCE20054
CLB10047 RESOURCE23967
CLB10048 RESOURCE32540
CLB10049 RESOURCE24972
CLB1005 RESOURCE12682
CLB10050 RESOURCE9481
CLB10051 RESOURCE15250
CLB10052 RESOURCE8428
CLB10053 RESOURCE18548
CLB10054 RESOURCE10024
CLB10055 RESOURCE23497
CLB10056 RESOURCE21472
CLB10057 RESOURCE13136
CLB10058 RESOURCE17028
CLB10059 RESOURCE14633
CLB1006 RESOURCE36523
CLB10060 RESOURCE20955
CLB10061 RESOURCE21480
CLB10062 RESOURCE18577
CLB10063 RESOURCE18545
CLB10064 RESOURCE12776
CLB10065 RESOURCE1151
CLB10066 RESOURCE18151
CLB10067 RESOURCE5627
CLB10068 RESOURCE7960
CLB10069 RESOURCE23635
CLB1007 RESOURCE21467
CLB10070 RESOURCE19543
CLB10071 RESOURCE12709
CLB10072 RESOURCE19549
CLB10073 RESOURCE15600
CLB10074 RESOURCE10961
CLB10075 RESOURCE25435
CLB10076 RESOURCE29809
CLB10077 RESOURCE15161
CLB10078 RESOURCE6965
CLB10079 RESOURCE15568
CLB1008 RESOURCE17059
CLB10080 RESOURCE14681
CLB10081 RESOURCE20626
CLB10082 RESOURCE17119
CLB10083 RESOURCE6462
CLB10084 RESOURCE30238
CLB10085 RESOURCE11000
CLB10086 RESOURCE20083
CLB10087 RESOURCE23176
CLB10088 RESOURCE35101
CLB10089 RESOURCE10481
CLB1009 RESOURCE32502
CLB10090 RESOURCE8475
CLB10091 RESOURCE30140
CLB10092 RESOURCE13254
CLB10093 RESOURCE14198
CLB10094 RESOURCE8597
CLB10095 RESOURCE14762
CLB10096 RESOURCE4495
CLB10097 RESOURCE3593
CLB10098 RESOURCE11598
CLB10099 RESOURCE30161
CLB101 RESOURCE29207
CLB1010 RESOURCE26935
CLB10100 RESOURCE16706
CLB10101 RESOURCE12099
CLB10102 RESOURCE8598
CLB10103 RESOURCE9601
CLB10104 RESOURCE26435
CLB10105 RESOURCE4144
CLB10106 RESOURCE9586
CLB10107 RESOURCE19118
CLB10108 RESOURCE12108
CLB10109 RESOURCE8019
CLB1011 RESOURCE35591
CLB10110 RESOURCE20612
CLB10111 RESOURCE7535
CLB10112 RESOURCE7621
CLB10113 RESOURCE7922
CLB10114 RESOURCE9077
CLB10115 RESOURCE3605
CLB10116 RESOURCE12024
CLB10117 RESOURCE18621
CLB10118 RESOURCE23554
CLB10119 RESOURCE34132
CLB1012 RESOURCE13114
CLB10120 RESOURCE25450
CLB10121 RESOURCE7955
CLB10122 RESOURCE28119
CLB10123 RESOURCE141
CLB10124 RESOURCE18601
CLB10125 RESOURCE3629
CLB10126 RESOURCE14679
CLB10127 RESOURCE4616
CLB10128 RESOURCE6140
CLB10129 RESOURCE17694
CLB1013 RESOURCE23483
CLB10130 RESOURCE14779
CLB10131 RESOURCE2070
CLB10132 RESOURCE2118
CLB10133 RESOURCE152
CLB10134 RESOURCE153
CLB10135 RESOURCE154
CLB10136 RESOURCE8444
CLB10137 RESOURCE31645
CLB10138 RESOURCE17102
CLB10139 RESOURCE6647
CLB1014 RESOURCE21956
CLB10140 RESOURCE1157
CLB10141 RESOURCE161
CLB10142 RESOURCE9537
CLB10143 RESOURCE163
CLB10144 RESOURCE3077
CLB10145 RESOURCE165
CLB10146 RESOURCE12684
CLB10147 RESOURCE4480
CLB10148 RESOURCE5004
CLB10149 RESOURCE680
CLB1015 RESOURCE23531
CLB10150 RESOURCE10087
CLB10151 RESOURCE278
CLB10152 RESOURCE26335
CLB10153 RESOURCE9008
CLB10154 RESOURCE3040
CLB10155 RESOURCE176
CLB10156 RESOURCE16729
CLB10157 RESOURCE178
CLB10158 RESOURCE179
CLB10159 RESOURCE180
CLB1016 RESOURCE28560
CLB10160 RESOURCE182
CLB10161 RESOURCE183
CLB10162 RESOURCE184
CLB10163 RESOURCE2158
CLB10164 RESOURCE186
CLB10165 RESOURCE192
CLB10166 RESOURCE188
CLB10167 RESOURCE189
CLB10168 RESOURCE2590
CLB10169 RESOURCE21566
CLB1017 RESOURCE20509
CLB10170 RESOURCE193
CLB10171 RESOURCE194
CLB10172 RESOURCE3597
CLB10173 RESOURCE196
